BUY,688.0,687.993547
SELL,688.5,688.542778
BUY,677.4,677.39508
SELL,676.0,676.005093
BUY,676.0,675.50121
SELL,665.95,666.542688
BUY,676.2,676.199197
SELL,669.05,669.076424
BUY,662.9,662.743156
SELL,663.55,663.550387
BUY,663.55,663.358613
SELL,663.85,663.851852
BUY,662.7,662.623787
SELL,657.0,657.00281
BUY,627.75,627.670991
SELL,625.1,625.452711
BUY,625.85,625.70903
SELL,630.55,630.782916
BUY,634.6,634.533006
SELL,640.65,640.79744
BUY,637.95,637.460741
SELL,642.6,642.903853
BUY,639.85,639.591541
SELL,640.35,640.374257
BUY,650.0,649.813218
SELL,650.0,650.000517
BUY,661.25,661.143909
SELL,661.85,661.860585
BUY,666.35,665.742895
SELL,666.35,666.357752
BUY,666.35,666.348966
SELL,662.95,663.527317
BUY,661.0,660.785312
SELL,661.8,661.987467
BUY,659.15,658.633602
SELL,664.95,665.386786
BUY,670.35,670.158222
SELL,672.0,672.082875
BUY,672.0,671.999362
SELL,672.0,672.049397
BUY,667.75,667.48419
SELL,670.0,670.002604
BUY,670.0,669.99405
SELL,662.6,662.664912
BUY,662.35,662.342071
SELL,664.55,664.736311
BUY,666.4,666.172437
SELL,669.6,669.752714
BUY,669.05,669.032705
SELL,665.0,665.001275
BUY,662.05,662.036084
SELL,665.0,665.162023
BUY,660.3,659.983363
SELL,664.55,665.059901
BUY,666.1,665.826753
SELL,670.0,670.013527
BUY,670.0,669.99223
SELL,675.0,675.128505
BUY,675.05,675.035956
SELL,670.95,671.574594
BUY,638.45,637.815425
SELL,634.2,634.213555
BUY,617.95,617.756054
SELL,618.4,618.70366
BUY,620.9,620.861186
SELL,624.85,625.157752
BUY,624.95,624.938497
SELL,621.1,621.103469
BUY,620.0,619.974402
SELL,620.9,620.981195
BUY,618.8,618.664361
SELL,620.7,620.826219
BUY,616.8,616.728866
SELL,620.0,620.262504
BUY,618.05,617.648335
SELL,619.35,619.394661
BUY,617.3,617.205378
SELL,621.5,621.648941
BUY,621.25,620.886788
SELL,621.1,621.317858
BUY,619.3,619.295145
SELL,625.6,625.82956
BUY,624.45,624.417562
SELL,621.6,621.600757
BUY,640.6,640.164368
SELL,638.8,639.315548
BUY,628.4,627.965776
SELL,631.2,631.317524
BUY,632.15,632.144226
SELL,625.35,625.357208
BUY,633.85,633.837272
SELL,633.2,633.201529
BUY,632.0,631.982078
SELL,633.3,633.356026
BUY,634.0,633.671024
SELL,633.65,633.655652
BUY,635.45,635.446607
SELL,635.3,635.306153
BUY,635.6,635.582705
SELL,638.25,638.303732
BUY,642.35,642.153521
SELL,642.6,642.810099
BUY,642.6,642.488761
SELL,642.6,642.603225
BUY,640.0,639.767367
SELL,633.1,633.104056
BUY,631.55,631.434803
SELL,640.25,640.471695
BUY,637.8,637.465966
SELL,639.95,640.136117
BUY,638.5,638.456019
SELL,641.05,641.261013
BUY,638.05,637.905321
SELL,639.65,639.794195
BUY,638.55,638.51072
SELL,638.85,638.93856
BUY,644.45,643.841698
SELL,643.05,643.05071
BUY,641.2,641.088463
SELL,639.15,639.155374
BUY,637.2,636.950931
SELL,633.4,633.403949
BUY,633.4,633.399071
SELL,632.75,632.75618
BUY,632.0,631.953204
SELL,635.55,635.769308
BUY,635.55,635.547135
SELL,638.5,638.753189
BUY,637.95,637.947656
SELL,637.95,637.950654
BUY,642.5,642.43349
SELL,646.0,646.225452
BUY,641.15,640.540221
SELL,641.15,641.161538
BUY,637.0,636.8554
SELL,635.0,635.105387
BUY,629.9,629.276117
SELL,631.35,631.66553
BUY,629.65,629.540407
SELL,626.8,627.09013
BUY,626.8,626.795865
SELL,627.85,627.930832
BUY,633.25,633.212212
SELL,633.25,633.25226
BUY,628.6,628.368445
SELL,632.5,632.786027
BUY,632.35,631.849097
SELL,633.65,633.672711
BUY,633.05,633.046272
SELL,633.6,633.638308
BUY,639.2,639.140543
SELL,640.5,640.645584
BUY,640.5,640.497052
SELL,636.25,636.258098
BUY,631.75,631.483375
SELL,633.4,633.467353
BUY,633.4,633.399548
SELL,635.05,635.196224
BUY,634.8,634.783176
SELL,635.95,635.985939
BUY,635.95,635.946958
SELL,634.4,634.403053
BUY,640.0,639.998403
SELL,637.1,637.105909
BUY,659.55,659.50269
SELL,656.95,656.957399
BUY,670.05,669.609748
SELL,673.0,673.244817
BUY,670.2,669.911248
SELL,676.0,676.561997
BUY,680.0,679.928993
SELL,685.0,685.085814
BUY,680.7,680.502829
SELL,682.1,682.208993
BUY,680.65,680.455298
SELL,680.65,680.652871
BUY,693.8,693.67777
SELL,697.15,697.282212
BUY,701.85,701.600948
SELL,695.0,695.201106
BUY,700.05,699.981029
SELL,702.05,702.164943
BUY,701.45,701.368474
SELL,696.3,696.416741
BUY,697.1,696.826771
SELL,698.4,699.031001
BUY,698.4,698.380139
SELL,705.0,705.159965
BUY,701.0,700.935302
SELL,702.4,702.435267
BUY,715.7,715.040144
SELL,739.7,740.185415
BUY,732.25,732.223215
SELL,729.1,729.137936
BUY,733.6,733.582277
SELL,734.4,734.516933
