tick,action,price,est_price,prob,reason
7719,SELL,240.55,240.53821,,Signal Exit
7769,BUY,238.9,239.129331,0.7574204,
7781,SELL,239.9,239.755673,,Signal Exit
7920,BUY,236.55,236.619499,0.85242003,
7923,SELL,237.25,237.049729,,Signal Exit
8000,BUY,233.8,233.981995,0.8686229,
8005,SELL,234.45,234.246362,,Signal Exit
8106,BUY,237.15,237.180121,0.77691066,
8111,SELL,238.1,238.045645,,Signal Exit
8144,BUY,236.65,236.708525,0.75511974,
8163,SELL,235.75,235.558214,,Signal Exit
8257,BUY,237.55,237.632537,0.85820645,
8261,SELL,238.25,238.087918,,Signal Exit
8364,BUY,242.0,242.151469,0.7622076,
8375,SELL,243.15,243.094504,,Signal Exit
8449,BUY,243.8,244.035536,0.8559367,
8457,SELL,244.15,244.149731,,Signal Exit
8570,BUY,242.05,242.239725,0.74161774,
8581,SELL,240.9,240.737202,,Signal Exit
8675,BUY,241.25,241.30841,0.8060962,
8681,SELL,242.0,241.785992,,Signal Exit
9255,BUY,239.3,239.319341,0.8755193,
9262,SELL,241.35,241.123756,,Signal Exit
9341,BUY,249.15,249.370273,0.91331595,
9368,SELL,251.0,250.758154,,Signal Exit
9431,BUY,249.45,249.679656,0.76566607,
9438,SELL,251.0,250.946334,,Signal Exit
9493,BUY,252.0,252.245301,0.75261724,
9497,SELL,253.25,253.194522,,Signal Exit
9506,BUY,252.0,252.251259,0.81613344,
9527,SELL,253.45,253.333459,,Signal Exit
9540,BUY,254.9,255.119538,0.7534493,
9541,SELL,255.3,255.181082,,Signal Exit
9568,BUY,251.25,251.275932,0.7035395,
9586,SELL,250.55,250.423348,,Signal Exit
9602,BUY,250.2,250.347421,0.84809387,
9637,SELL,246.8,246.593398,,Signal Exit
9683,BUY,241.1,241.147301,0.8071665,
9686,SELL,241.5,241.480428,,Signal Exit
10192,BUY,258.7,258.856753,0.80708224,
10204,SELL,257.8,257.691462,,Signal Exit
10411,BUY,247.55,247.585091,0.79756916,
10422,SELL,248.25,248.09476,,Signal Exit
10446,BUY,246.3,246.504962,0.83128697,
10458,SELL,246.1,245.92756,,Signal Exit
10535,BUY,247.65,247.735702,0.7033949,
10539,SELL,248.4,248.154908,,Signal Exit
10665,BUY,253.05,253.277379,0.7130989,
10690,SELL,253.25,252.999014,,Signal Exit
10713,BUY,250.9,251.048374,0.7703815,
10726,SELL,252.05,251.901553,,Signal Exit
10959,BUY,262.65,262.905206,0.7536485,
10968,SELL,263.55,263.472277,,Signal Exit
11025,BUY,262.1,262.230514,0.8064468,
11035,SELL,266.15,265.983869,,Signal Exit
11244,BUY,262.75,262.801122,0.72748744,
11260,SELL,264.8,264.548064,,Signal Exit
11282,BUY,262.95,263.123631,0.83087057,
11301,SELL,261.95,261.86463,,Signal Exit
11389,BUY,267.0,267.221422,0.8379044,
11396,SELL,267.65,267.416658,,Signal Exit
11525,BUY,270.75,270.916891,0.9620541,
11528,SELL,271.2,270.975023,,Signal Exit
11535,BUY,268.75,268.887921,0.7079317,
11546,SELL,270.75,270.673077,,Signal Exit
11572,BUY,274.65,274.805006,0.8831347,
11587,SELL,274.55,274.483252,,Signal Exit
11634,BUY,268.65,268.831046,0.8328723,
11644,SELL,270.95,270.857863,,Signal Exit
11665,BUY,269.3,269.54012,0.7166759,
11668,SELL,270.1,269.92588,,Signal Exit
11711,BUY,253.05,253.177438,0.88729024,
11719,SELL,254.6,254.366365,,Signal Exit
11824,BUY,266.75,266.892173,0.7106793,
11841,SELL,267.75,267.665066,,Signal Exit
12092,BUY,282.7,282.81113,0.7062136,
12098,SELL,283.6,283.498108,,Signal Exit
12140,BUY,283.2,283.211951,0.7826763,
12147,SELL,286.05,285.776192,,Signal Exit
12200,BUY,279.15,279.155059,0.71116215,
12207,SELL,279.85,279.84344,,Signal Exit
12232,BUY,282.15,282.199647,0.70004857,
12250,SELL,280.9,280.817872,,Signal Exit
12316,BUY,279.3,279.48716,0.70908296,
12333,SELL,278.8,278.71969,,Signal Exit
12399,BUY,282.3,282.514303,0.7494164,
12405,SELL,283.65,283.427142,,Signal Exit
12420,BUY,285.15,285.212271,0.7984506,
12426,SELL,285.65,285.443739,,Signal Exit
12593,BUY,278.85,278.891305,0.7417402,
12629,SELL,276.3,276.168146,,Signal Exit
12748,BUY,274.95,275.164309,0.761298,
12752,SELL,275.55,275.382391,,Signal Exit
12766,BUY,269.6,269.724621,0.75805676,
12776,SELL,271.5,271.319825,,Signal Exit
13126,BUY,273.95,274.036473,0.76147336,
13162,SELL,277.3,277.054192,,Signal Exit
13331,BUY,309.35,309.436738,0.78335744,
13339,SELL,310.0,309.899328,,Signal Exit
13347,BUY,308.15,308.41799,0.75311387,
13385,SELL,311.2,311.145489,,Signal Exit
13409,BUY,312.35,312.573799,0.75561655,
13440,SELL,307.2,308.345583,,STOP LOSS
13487,BUY,300.9,301.019669,0.7060161,
13504,SELL,306.5,306.292588,,Signal Exit
13546,BUY,309.5,309.614757,0.7164329,
13565,SELL,309.75,309.490093,,Signal Exit
13661,BUY,301.0,301.251259,0.739434,
13688,SELL,307.25,307.111356,,Signal Exit
13792,BUY,304.65,304.841071,0.7302366,
13816,SELL,299.35,299.777046,,STOP LOSS
13833,BUY,299.4,299.662476,0.82390434,
13837,SELL,300.6,300.559893,,Signal Exit
13894,BUY,302.9,303.038833,0.7618171,
13900,SELL,304.15,304.022924,,Signal Exit
13999,BUY,312.0,312.21657,0.7536211,
14007,SELL,312.55,312.310204,,Signal Exit
14015,BUY,307.05,307.29111,0.7903069,
14031,SELL,308.3,308.11836,,Signal Exit
14134,BUY,308.65,308.788096,0.78627455,
14140,SELL,311.8,311.652655,,Signal Exit
14213,BUY,314.15,314.307502,0.74747527,
14219,SELL,315.1,314.939071,,Signal Exit
14233,BUY,315.2,315.469208,0.82296926,
14244,SELL,316.35,316.320553,,Signal Exit
14271,BUY,316.15,316.430593,0.7056458,
14314,SELL,313.25,313.242828,,Signal Exit
14421,BUY,297.25,297.461539,0.7754265,
14422,SELL,297.7,297.54915,,Signal Exit
14444,BUY,298.5,298.744319,0.7371738,
14474,SELL,293.05,293.684924,,STOP LOSS
14577,BUY,297.15,297.361025,0.70729506,
14607,SELL,291.8,292.163602,,STOP LOSS
14675,BUY,291.4,291.473074,0.71623135,
14682,SELL,294.0,293.974332,,Signal Exit
14797,BUY,296.2,296.480556,0.72281194,
14828,SELL,294.45,294.190132,,Signal Exit
14849,BUY,293.3,293.440838,0.7036739,
14885,SELL,290.95,290.792252,,Signal Exit
15012,BUY,284.8,284.829813,0.70437086,
15017,SELL,285.55,285.307263,,Signal Exit
15034,BUY,286.4,286.651671,0.7914902,
15046,SELL,292.65,292.51749,,Signal Exit
15336,BUY,298.65,298.805426,0.71343935,
15346,SELL,300.25,300.054852,,Signal Exit
15353,BUY,297.9,297.940535,0.70100975,
15357,SELL,299.45,299.209765,,Signal Exit
15374,BUY,298.45,298.63512,0.7153144,
15394,SELL,302.35,302.290788,,Signal Exit
15528,BUY,302.1,302.395844,0.7274778,
15534,SELL,296.35,297.804308,,STOP LOSS
15611,BUY,298.55,298.818722,0.75301623,
15619,SELL,302.6,302.350179,,Signal Exit
15928,BUY,300.05,300.223723,0.74372256,
15934,SELL,300.55,300.255005,,Signal Exit
15960,BUY,299.5,299.687816,0.7259512,
15964,SELL,300.15,299.857074,,Signal Exit
15973,BUY,299.5,299.702731,0.7020226,
16002,SELL,301.15,301.000901,,Signal Exit
16050,BUY,301.0,301.200502,0.74614966,
16072,SELL,306.0,305.835367,,Signal Exit
16159,BUY,309.25,309.489433,0.7178134,
16180,SELL,304.15,305.21856,,STOP LOSS
16195,BUY,301.85,301.87505,0.785984,
16206,SELL,305.8,305.761058,,Signal Exit
16225,BUY,306.15,306.312856,0.73086274,
16229,SELL,307.05,306.839533,,Signal Exit
16253,BUY,305.35,305.500877,0.7557267,
16276,SELL,300.35,300.612411,,STOP LOSS
16353,BUY,274.7,274.936209,0.7423199,
16412,SELL,284.4,284.11907,,Signal Exit
16464,BUY,284.0,284.054401,0.71427834,
16479,SELL,287.5,287.451152,,Signal Exit
16530,BUY,294.9,295.188995,0.73378444,
16545,SELL,296.0,295.838183,,Signal Exit
16551,BUY,295.1,295.239544,0.70692444,
16569,SELL,289.95,292.149664,,STOP LOSS
16631,BUY,287.0,287.180895,0.70636773,
16638,SELL,287.45,287.335757,,Signal Exit
16852,BUY,285.0,285.01274,0.7243427,
16856,SELL,285.55,285.348631,,Signal Exit
16866,BUY,285.6,285.837654,0.72822154,
16871,SELL,286.6,286.413143,,Signal Exit
16922,BUY,286.05,286.181576,0.7400824,
16936,SELL,280.9,282.37787,,STOP LOSS
17051,BUY,271.65,271.729163,0.7945091,
17056,SELL,273.15,273.140247,,Signal Exit
17094,BUY,274.15,274.34694,0.7028347,
17096,SELL,275.1,274.829888,,Signal Exit
17158,BUY,279.1,279.313953,0.739465,
17160,SELL,279.45,279.383333,,Signal Exit
17209,BUY,279.3,279.503116,0.8319659,
17227,SELL,281.0,280.978627,,Signal Exit
17338,BUY,275.35,275.532247,0.8521546,
17352,SELL,276.4,276.1563,,Signal Exit
17581,BUY,280.6,280.613042,0.71435237,
17587,SELL,282.5,282.46584,,Signal Exit
17635,BUY,283.0,283.264325,0.7364198,
17649,SELL,276.45,278.649947,,STOP LOSS
17701,BUY,275.5,275.723848,0.7127012,
17706,SELL,276.35,276.108434,,Signal Exit
17720,BUY,268.65,268.799175,0.74962854,
17731,SELL,273.55,273.330587,,Signal Exit
17740,BUY,270.05,270.162248,0.83337367,
17769,SELL,267.75,267.551664,,Signal Exit
17817,BUY,263.1,263.234849,0.76439863,
