Measured_Price,Estimated_Price,Estimated_Velocity,rel_diff
381.2,382.368345,-0.076179,-0.003056
381.15,381.871065,-0.16693,-0.001888
378.75,380.614986,-0.401652,-0.0049
378.3,379.507914,-0.553676,-0.003183
377.7,378.491818,-0.653332,-0.002092
377.7,377.787428,-0.664335,-0.000231
387.2,380.83831,0.136328,0.016704
385.4,382.606208,0.487946,0.007302
384.5,383.61247,0.599648,0.002314
384.5,384.318256,0.622522,0.000473
383.8,384.520189,0.531881,-0.001873
383.8,384.590449,0.432397,-0.002055
385.2,385.08816,0.446473,0.00029
386.0,385.706208,0.483449,0.000762
386.45,386.285642,0.504135,0.000425
385.0,386.12991,0.361927,-0.002926
384.35,385.702172,0.191747,-0.003506
384.8,385.490606,0.10483,-0.001791
385.55,385.578684,0.10122,-7.4e-05
383.35,384.8209,-0.083904,-0.003822
383.35,384.22563,-0.194108,-0.002279
383.8,383.946163,-0.212503,-0.000381
383.45,383.629078,-0.235042,-0.000467
383.3,383.359367,-0.242513,-0.000155
384.45,383.608366,-0.136588,0.002194
384.55,383.869304,-0.050917,0.001773
384.0,383.885345,-0.036487,0.000299
385.3,384.383874,0.078814,0.002383
384.55,384.494878,0.085751,0.000143
386.7,385.362012,0.254146,0.003472
393.8,388.633429,0.904395,0.013294
394.0,391.182967,1.258939,0.007201
392.75,392.555496,1.283418,0.000495
392.5,393.345275,1.177035,-0.002149
391.0,393.223682,0.897169,-0.005655
389.6,392.454075,0.537963,-0.007272
388.25,391.243714,0.161183,-0.007652
388.25,390.24173,-0.08949,-0.005104
390.65,390.335757,-0.04994,0.000805
390.9,390.512258,-0.00114,0.000993
391.25,390.783534,0.057568,0.001194
392.3,391.378977,0.173485,0.002353
392.45,391.883372,0.244799,0.001446
390.9,391.675362,0.147215,-0.00198
389.9,391.113749,-0.005544,-0.003103
389.9,390.662756,-0.101542,-0.001952
391.1,390.759857,-0.058733,0.00087
389.4,390.221417,-0.162114,-0.002105
388.85,389.61345,-0.2582,-0.00196
388.85,389.168971,-0.298344,-0.00082
390.25,389.379183,-0.188746,0.002236
390.25,389.581083,-0.104558,0.001717
389.7,389.558917,-0.086802,0.000362
384.45,387.62053,-0.485835,-0.008179
383.35,385.73933,-0.786549,-0.006194
383.0,384.232817,-0.941708,-0.003209
383.0,383.183781,-0.964838,-0.00048
384.05,382.894029,-0.819351,0.003019
384.6,383.005729,-0.618701,0.004163
385.8,383.645344,-0.347522,0.005616
386.55,384.496855,-0.08912,0.00534
387.75,385.639983,0.176441,0.005471
388.85,386.934862,0.417474,0.00495
388.1,387.627989,0.47688,0.001218
388.25,388.158377,0.488412,0.000236
388.2,388.482064,0.452912,-0.000726
386.5,388.037234,0.25944,-0.003962
386.5,387.634265,0.116685,-0.002926
389.2,388.285195,0.23182,0.002356
388.95,388.67665,0.266223,0.000703
389.3,389.074541,0.294598,0.000579
390.0,389.601729,0.344724,0.001022
389.95,389.94776,0.345005,6e-06
389.25,389.908312,0.262152,-0.001688
389.7,389.997011,0.224771,-0.000762
391.25,390.600872,0.306469,0.001662
391.5,391.125846,0.353559,0.000957
392.0,391.671341,0.394923,0.000839
